concept,chunk_text
Kinetic Particle Theory,"Matter exists as solid, liquid, or gas depending on the arrangement and energy of its particles. Heating increases particle kinetic energy, weakening the forces holding particles together and driving melting, evaporation, and diffusion."
Atomic Structure,"Atoms consist of protons and neutrons in a central nucleus, surrounded by electrons in shells. Proton number defines the element; nucleon number is protons plus neutrons. Isotopes share proton number but differ in neutron number."
Chemical Bonding - Ionic,"Ionic bonds form by electron transfer between a metal and non-metal, producing oppositely charged ions held together by strong electrostatic attraction in a giant lattice. This gives high melting points and conductivity only when molten or dissolved."
Chemical Bonding - Covalent,Covalent bonds form when non-metal atoms share pairs of electrons to achieve a full outer shell. Simple molecular substances have weak intermolecular forces (low melting/boiling points); giant covalent structures like diamond have very high melting points.
Chemical Bonding - Metallic,"Metallic bonding is the electrostatic attraction between a lattice of positive metal ions and a 'sea' of delocalised electrons. This explains malleability, ductility, and electrical/thermal conductivity of metals."
Formulae and Equations,"Chemical formulae represent the ratio of atoms/ions in a compound. Balanced equations conserve atoms of each element on both sides, and state symbols (s, l, g, aq) describe physical states."
The Mole Concept,"One mole of any substance contains Avogadro's number (6.02x10^23) of particles. Moles link mass, molar mass, and number of particles, and for gases at r.t.p. one mole occupies 24 dm^3."
Stoichiometry Calculations,"Stoichiometry uses balanced equations and mole ratios to calculate reacting masses, volumes, and concentrations, including limiting reagent and percentage yield problems."
Acids and Bases,Acids release H+ ions in water and turn litmus red; bases/alkalis release OH- ions and turn litmus blue. pH measures H+ concentration; neutralisation is acid + base forming salt and water.
Salts and Preparation of Salts,"Salts are prepared by reacting an acid with a metal, base, carbonate, or via titration/precipitation, chosen based on the solubility of the salt and reactant."
Qualitative Analysis (Tests for Ions and Gases),"Standard tests identify cations (flame tests, NaOH/NH3 precipitates), anions (e.g. dilute acid for carbonate, AgNO3 for halides), and gases (litmus for ammonia, glowing splint for oxygen, limewater for CO2)."
Redox Reactions,Oxidation is loss of electrons (or gain of oxygen); reduction is gain of electrons (or loss of oxygen). Oxidising agents gain electrons; reducing agents lose electrons — tracked via oxidation states.
Electrolysis,Electrolysis uses electrical energy to decompose an ionic compound in molten or aqueous form. Cations move to the cathode and are reduced; anions move to the anode and are oxidised; product depends on ion discharge preference.
Energy Changes,Exothermic reactions release heat to the surroundings (temperature rises); endothermic reactions absorb heat (temperature falls). Energy profile diagrams show activation energy and overall enthalpy change.
Rate of Reaction,"Reaction rate increases with higher concentration, temperature, surface area, or a catalyst, because these increase the frequency and/or energy of successful particle collisions."
Reversible Reactions and Equilibrium,"Reversible reactions reach dynamic equilibrium when forward and reverse rates are equal. Le Chatelier's principle predicts how changing concentration, pressure, or temperature shifts the position of equilibrium."
Periodic Table Trends,Elements are arranged by increasing proton number into periods and groups; elements in the same group share similar outer-shell electron configurations and so similar chemical properties.
Metals and the Reactivity Series,"The reactivity series ranks metals by how readily they lose electrons, predicting displacement reactions and reactions with water, acid, and oxygen."
Extraction of Metals,"The extraction method depends on a metal's position in the reactivity series: electrolysis for very reactive metals, reduction with carbon for moderately reactive metals, and native occurrence for unreactive metals."
Chemistry of Air and the Environment,"Clean air is a mixture of gases (mainly nitrogen and oxygen); pollutants like CO, SO2, NOx, and particulates arise from combustion and contribute to acid rain, smog, and the greenhouse effect."
Chemistry of Water,"Water treatment involves sedimentation, filtration, and chlorination to make water potable; tests for water use anhydrous copper(II) sulfate (turns blue) and cobalt(II) chloride paper (turns pink)."
Organic Chemistry - Alkanes and Alkenes,"Alkanes are saturated hydrocarbons (single bonds only); alkenes are unsaturated (contain a C=C double bond) and react with bromine water, decolourising it, unlike alkanes."
Organic Chemistry - Alcohols and Carboxylic Acids,"Alcohols (e.g. ethanol) can be oxidised to carboxylic acids (e.g. ethanoic acid); carboxylic acids react with alcohols to form esters, and behave as weak acids with carbonates and metals."
Polymers,Polymers are large molecules made of repeating monomer units. Addition polymers form from unsaturated monomers (e.g. alkenes) joining without loss of atoms; condensation polymers form with loss of a small molecule like water.
Experimental Design and Techniques,"Good experimental design controls variables, uses appropriate apparatus (e.g. titration, filtration, distillation) for the separation/measurement needed, and considers sources of error and precision."
